orf19_id	a22_systematic_name	gene_name	other_alleles
orf19.1911	C2_00100C_A	PGA52	C2_00100C_B
orf19.1915	C2_00070C_A	MPP10	C2_00070C_B
orf19.1923	C2_00030W_A	RRN3	C2_00030W_B
orf19.1927	C5_01390C_A	SNM1	C5_01390C_B
orf19.1930	C5_01380W_A	CFL5	C5_01380W_B
orf19.1932	C5_01360W_A	CFL4	C5_01360W_B
orf19.1933	C5_01350W_A		C5_01350W_B
orf19.1934	C5_01340W_A	HST3	C5_01340W_B
orf19.1936	C5_01320W_A	SNF1	C5_01320W_B
orf19.1939	C5_01300C_A		C5_01300C_B
orf19.1940	C5_01290C_A		C5_01290C_B
orf19.1941	C5_01280C_A	NUF2	C5_01280C_B
orf19.1944	C5_01250W_A	GPR1	C5_01250W_B
orf19.1945	C5_01240W_A	AUR1	C5_01240W_B
orf19.1946	C5_01230C_A		C5_01230C_B
orf19.1949	C5_01210W_A	VPS1	C5_01210W_B
orf19.1950	C5_01200W_A		C5_01200W_B
orf19.1954	C5_01180W_A	PUS4	C5_01180W_B
orf19.1955	C5_01170W_A		C5_01170W_B
orf19.1956	C5_01140C_A	PPR4	C5_01140C_B
orf19.1957	C5_01130W_A	CYC3	C5_01130W_B
orf19.1959	C5_01110W_A		C5_01110W_B
orf19.1960	C5_01100C_A	CLN3	C5_01100C_B
orf19.1963	C5_01080C_A	GDS1	C5_01080C_B
orf19.1966	C5_01060C_A	BUD23	C5_01060C_B
orf19.1967	C5_01050C_A		C5_01050C_B
orf19.1968.1	C5_01020C_A		C5_01020C_B
orf19.1972	C5_00950C_A	SET5	C5_00950C_B
orf19.1973	C5_00940C_A	HAP5	C5_00940C_B
orf19.1974	C5_00930C_A	TFS1	C5_00930C_B
orf19.1975	C5_00920W_A		C5_00920W_B
orf19.1977	C5_00900C_A	URA4	C5_00900C_B
orf19.198	C2_09060C_A	ASN1	C2_09060C_B
orf19.1981	C5_00860W_A	IMP2	C5_00860W_B
orf19.1986	CR_07710W_A	ARO2	CR_07710W_B
orf19.1988	CR_07720C_A	CDC45	CR_07720C_B
orf19.1989	C2_01360C_A	DCW1	C2_01360C_B
orf19.1990	C2_01350C_A	SNX4	C2_01350C_B
orf19.1991	C2_01340W_A		C2_01340W_B
orf19.1993	C2_01320W_A	RPN9	C2_01320W_B
orf19.1994	C2_01310W_A		C2_01310W_B
orf19.20	C2_06420C_A	RTS1	C2_06420C_B
orf19.200	C2_09040W_A		C2_09040W_B
orf19.2000	C2_01240C_A		C2_01240C_B
orf19.2002	C2_01220W_A		C2_01220W_B
orf19.2005	C2_01200C_A	REG1	C2_01200C_B
orf19.2006	C2_01190C_A		C2_01190C_B
orf19.2006.1	C2_01180W_A	COX17	C2_01180W_B
orf19.2007	C2_01170C_A	VPS54	C2_01170C_B
orf19.2008	C2_01160W_A		C2_01160W_B
orf19.2009	C2_01150W_A	PEX12	C2_01150W_B
orf19.201	C2_09030W_A		C2_09030W_B
orf19.2012	C2_01130W_A	NOT3	C2_01130W_B
orf19.2013	C2_01120W_A	KAR2	C2_01120W_B
orf19.2014	C2_01110C_A	BCY1	C2_01110C_B
orf19.2016	C2_01090C_A	ERG28	C2_01090C_B
orf19.2017	C2_01070W_A		C2_01070W_B
orf19.2018	C2_01060C_A		C2_01060C_B
orf19.2019	C2_01030W_A		C2_01030W_B
orf19.202	C2_09020W_A	CDC47	C2_09020W_B
orf19.2020	C2_01020W_A	HGT6	C2_01020W_B
orf19.2026	C2_00970C_A	UBP13	C2_00970C_B
orf19.2028	C2_00960C_A	MXR1	C2_00960C_B
orf19.2029	C2_00950C_A	RFC5	C2_00950C_B
orf19.203	C2_09010W_A	STB3	C2_09010W_B
orf19.2031	C2_00930C_A	VPS24	C2_00930C_B
orf19.2039	C2_00850W_A	MSF1	C2_00850W_B
orf19.2040	C2_00840W_A		C2_00840W_B
orf19.2041	C2_00830C_A	RSC4	C2_00830C_B
orf19.2042	C2_00820W_A		C2_00820W_B
orf19.2045	C2_00790C_A		C2_00790C_B
orf19.2047	C2_00770W_A		C2_00770W_B
orf19.2050	C2_00740C_A		C2_00740C_B
orf19.2055	C2_00710W_A	NPL6	C2_00710W_B
orf19.2057	C2_00700W_A		C2_00700W_B
orf19.2065	C2_00630C_A		C2_00630C_B
orf19.2066	C2_00620C_A		C2_00620C_B
orf19.2066.1	C2_00610C_A	ATP18	C2_00610C_B
orf19.2067	C2_00600C_A		C2_00600C_B
orf19.2069	C2_00580C_A	SMF3	C2_00580C_B
orf19.2070	C2_00570W_A	RSC58	C2_00570W_B
orf19.2072	C2_00550W_A		C2_00550W_B
orf19.2073	C2_00540W_A		C2_00540W_B
orf19.2075	C2_00520W_A	DFG5	C2_00520W_B
orf19.2076	C2_00510W_A		C2_00510W_B
orf19.2078	C2_00490W_A		C2_00490W_B
orf19.2079	C2_00480C_A	PHHB	C2_00480C_B
orf19.2081	C2_00470W_A	POM152	C2_00470W_B
orf19.2084	C2_00450C_A	CDH1	C2_00450C_B
orf19.2087	C2_00440W_A	SAS2	C2_00440W_B
orf19.2088	C2_00430C_A	DPB4	C2_00430C_B
orf19.2089	C2_00420W_A		C2_00420W_B
orf19.209	C2_08970C_A	DFG10	C2_08970C_B
orf19.2090	C2_00410C_A		C2_00410C_B
orf19.2092	C2_00390C_A		C2_00390C_B
orf19.2093	C2_00380C_A	RFA1	C2_00380C_B
orf19.2094	C2_00370W_A	PDR6	C2_00370W_B
orf19.2095	C2_00360C_A		C2_00360C_B
orf19.2097	C2_00350W_A		C2_00350W_B
orf19.2098	C2_00340C_A	ARO8	C2_00340C_B
orf19.2099	C2_00330C_A	HIR1	C2_00330C_B
orf19.21	C2_06430C_A		C2_06430C_B
orf19.210	C2_08960C_A		C2_08960C_B
orf19.2101	C2_00320W_A		C2_00320W_B
orf19.2102	C2_00300C_A	CKB1	C2_00300C_B
orf19.2104	C2_00290W_A		C2_00290W_B
orf19.2105	C2_00280C_A		C2_00280C_B
orf19.2106	C2_00270C_A		C2_00270C_B
orf19.2107	C2_00260C_A	MUQ1	C2_00260C_B
orf19.2107.1	C2_00250W_A	STF2	C2_00250W_B
orf19.2110	C2_00230W_A		C2_00230W_B
orf19.2111	C2_00220C_A		C2_00220C_B
orf19.2111.2	C2_00210W_A	RPL38	C2_00210W_B
orf19.2112	C2_00200W_A	PRP18	C2_00200W_B
orf19.2113	C2_00190C_A		C2_00190C_B
orf19.2115	C2_00170C_A	HMA1	C2_00170C_B
orf19.2116	C2_00160C_A	NAT2	C2_00160C_B
orf19.2117	C2_00150W_A	LEU5	C2_00150W_B
orf19.2119	C2_00140W_A	NDT80	C2_00140W_B
orf19.212	C2_08940C_A	VPS28	C2_08940C_B
orf19.2127	C6_04430W_A	CST5	C6_04430W_B
orf19.2128	C6_04450W_A		C6_04450W_B
orf19.2129	C6_04440C_A		C6_04440C_B
orf19.213	C2_08930W_A	RPN12	C2_08930W_B
orf19.2131	C6_04470C_A		C6_04470C_B
orf19.2135	C6_04500C_A	TSM1	C6_04500C_B
orf19.2138	C6_04520W_A	ILS1	C6_04520W_B
orf19.2143	C6_04530C_A		C6_04530C_B
orf19.2146	C6_04540C_A	HAT2	C6_04540C_B
orf19.2149	C6_04550C_A		C6_04550C_B
orf19.215	C2_08920W_A		C2_08920W_B
orf19.2150	C6_04560W_A		C6_04560W_B
orf19.2151	C6_04570W_A	NAG6	C6_04570W_B
orf19.2154	C6_04580W_A	HXK1	C6_04580W_B
orf19.2166	C2_08190W_A	VMA5	C2_08190W_B
orf19.2167	C2_08180C_A		C2_08180C_B
orf19.2168	C2_08170W_A		C2_08170W_B
orf19.2168.3	C2_08160C_A		C2_08160C_B
orf19.217	C2_08890W_A	IRF1	C2_08890W_B
orf19.2170	C2_08140C_A	PHM7	C2_08140C_B
orf19.2172	C2_08130W_A	ARA1	C2_08130W_B
orf19.2173	C2_08120W_A	MAF1	C2_08120W_B
orf19.2174	C2_08110W_A	RAD57	C2_08110W_B
orf19.2175	C2_08100W_A		C2_08100W_B
orf19.2178	C2_08070C_A	MRS4	C2_08070C_B
orf19.2179	C2_08050C_A	SIT1	C2_08050C_B
orf19.2179.2	C2_08040C_A	RPS10	C2_08040C_B
orf19.2180	C2_08020C_A		C2_08020C_B
orf19.2182	C2_08010W_A	BLM3	C2_08010W_B
orf19.2183	C2_08000C_A	KRE30	C2_08000C_B
orf19.2185	C2_07960C_A	NSA1	C2_07960C_B
orf19.2186	C2_07950W_A	SEH1	C2_07950W_B
orf19.2187	C2_07940C_A	ALG7	C2_07940C_B
orf19.2190	C2_07930C_A	VRP1	C2_07930C_B
orf19.2191	C2_07920W_A		C2_07920W_B
orf19.2192	C2_07900W_A	GDH2	C2_07900W_B
orf19.2193	C2_07890W_A	PRS5	C2_07890W_B
orf19.2194	C2_07880W_A	APM4	C2_07880W_B
orf19.2196	C2_07860W_A		C2_07860W_B
orf19.2199	C2_07820C_A	PHO86	C2_07820C_B
orf19.220	C2_08870C_A	PIR1	C2_08870C_B
orf19.2200	C2_07810W_A		C2_07810W_B
orf19.2201	C2_07800W_A		C2_07800W_B
orf19.2204	C2_07760W_A		C2_07760W_B
orf19.2204.2	C2_07750W_A	RHO2	C2_07750W_B
orf19.2208	C2_07740W_A		C2_07740W_B
orf19.2209	C2_07730W_A	YVC1	C2_07730W_B
orf19.2213	C2_07690W_A		C2_07690W_B
orf19.2214	C2_07680W_A		C2_07680W_B
orf19.2215	C2_07670C_A	GLE1	C2_07670C_B
orf19.2216	C2_07660W_A	PDS5	C2_07660W_B
orf19.2222	C2_08270C_A	YCK22	C2_08270C_B
orf19.2228	C2_06770W_A		C2_06770W_B
orf19.2229	C2_06780C_A		C2_06780C_B
orf19.223	C2_08860W_A	FPK1	C2_08860W_B
orf19.2230	C2_06790W_A		C2_06790W_B
orf19.2232	C2_06810C_A	RPL11	C2_06810C_B
orf19.2233	C2_06820C_A	PRE2	C2_06820C_B
orf19.2236	C2_06830C_A	FHL1	C2_06830C_B
orf19.2237.1	C2_06850W_A		C2_06850W_B
orf19.2238	C2_06860W_A	LTE1	C2_06860W_B
orf19.2245	C2_06910W_A	YPT72	C2_06910W_B
orf19.2246	C2_06920C_A		C2_06920C_B
orf19.2248	C2_06940C_A	ARE2	C2_06940C_B
orf19.2249	C2_06950C_A		C2_06950C_B
orf19.2250	C2_06960W_A	SPE3	C2_06960W_B
orf19.2251	C2_06970W_A	AAH1	C2_06970W_B
orf19.2256	C2_07000W_A		C2_07000W_B
orf19.2257	C2_07010W_A		C2_07010W_B
orf19.2259	C2_07030C_A		C2_07030C_B
orf19.2260	C2_07040W_A		C2_07040W_B
orf19.2261	C2_07060W_A	HSH49	C2_07060W_B
orf19.2262	C2_07070W_A	ZTA1	C2_07070W_B
orf19.2265	C2_07100W_A	SNF12	C2_07100W_B
orf19.2266	C2_07110C_A		C2_07110C_B
orf19.2267	C2_07120W_A	RFA2	C2_07120W_B
orf19.2268	C2_07130C_A	RCK2	C2_07130C_B
orf19.2269	C2_07140W_A		C2_07140W_B
orf19.227	C3_02400C_A	COX7	C3_02400C_B
orf19.2270	C2_07160W_A	SMF12	C2_07160W_B
orf19.2272	C2_07170C_A	AFT2	C2_07170C_B
orf19.2275	C2_07190C_A		C2_07190C_B
orf19.2276	C2_07200W_A		C2_07200W_B
orf19.2277	C2_07210C_A	TPK2	C2_07210C_B
orf19.2278	C2_07220W_A		C2_07220W_B
orf19.2286	C2_07290W_A		C2_07290W_B
orf19.2287	C2_07300C_A	RPA12	C2_07300C_B
orf19.2288	C2_07310W_A	CCT5	C2_07310W_B
orf19.2289	C2_07320W_A	ARP3	C2_07320W_B
orf19.229	C3_02410C_A		C3_02410C_B
orf19.2290	C2_07330W_A	TOR1	C2_07330W_B
orf19.2297	C1_11190W_A	ARL3	C1_11190W_B
orf19.2298	C1_11170W_A	WBP1	C1_11170W_B
orf19.2299	C1_11160C_A		C1_11160C_B
orf19.230	C3_02420C_A	PET111	C3_02420C_B
orf19.2301	C1_11150W_A		C1_11150W_B
orf19.2302	C1_11140W_A		C1_11140W_B
orf19.2303	C1_11130W_A	FGR16	C1_11130W_B
orf19.2305	C1_11110C_A		C1_11110C_B
orf19.2306	C1_11100W_A		C1_11100W_B
orf19.2307	C1_11090C_A		C1_11090C_B
orf19.2308	C1_11080W_A		C1_11080W_B
orf19.2309	C1_11070W_A	PET127	C1_11070W_B
orf19.2309.2	C1_11060C_A	RPL2	C1_11060C_B
orf19.231	C3_02430W_A	APL2	C3_02430W_B
orf19.2310	C1_11050W_A		C1_11050W_B
orf19.2310.1	C1_11040W_A	RPL29	C1_11040W_B
orf19.2313	C1_11010C_A		C1_11010C_B
orf19.2314	C1_11000C_A		C1_11000C_B
orf19.2315	C1_10990C_A	RTG3	C1_10990C_B
orf19.2318.1	C1_10960W_A		C1_10960W_B
orf19.2319	C1_10970W_A		C1_10970W_B
orf19.232	C3_02440C_A	MED7	C3_02440C_B
orf19.2320	C1_10950C_A		C1_10950C_B
orf19.2322.3	C1_10940C_A	ERP5	C1_10940C_B
orf19.2324	C1_10930C_A	UBA4	C1_10930C_B
orf19.2325	C1_10920W_A		C1_10920W_B
orf19.2326	C1_10910C_A		C1_10910C_B
orf19.2329.1	C1_10870W_A	RPS17B	C1_10870W_B
orf19.233.1	C3_02450W_A	HRT1	C3_02450W_B
orf19.2330	C1_10880W_A		C1_10880W_B
orf19.2331	C1_10860C_A	ADA2	C1_10860C_B
orf19.2333	C1_10840C_A		C1_10840C_B
orf19.2334	C1_10830W_A	BIG1	C1_10830W_B
orf19.2335	C1_10820C_A		C1_10820C_B
orf19.234	C3_02460C_A	PHA2	C3_02460C_B
orf19.2340	C1_10790W_A	CDC48	C1_10790W_B
orf19.2341	C1_10780C_A	HNT1	C1_10780C_B
orf19.2342	C1_10770W_A	SFT2	C1_10770W_B
orf19.2343	C1_10760W_A	VPS23	C1_10760W_B
orf19.2343.1	C1_10750C_A		C1_10750C_B
orf19.2346	C1_10730W_A		C1_10730W_B
orf19.2350	C1_10710C_A		C1_10710C_B
orf19.2351	C1_10700C_A	NIT3	C1_10700C_B
orf19.2352	C1_10690W_A		C1_10690W_B
orf19.236	C3_02470C_A	RPL9B	C3_02470C_B
orf19.2360	CR_07050C_A	URA2	CR_07050C_B
orf19.2361	CR_07040W_A	SPT10	CR_07040W_B
orf19.2362	CR_07030C_A		CR_07030C_B
orf19.2363	CR_07020W_A		CR_07020W_B
orf19.2364	CR_07010W_A	MIS11	CR_07010W_B
orf19.2365	CR_07000C_A	POL2	CR_07000C_B
orf19.2367	CR_06980W_A		CR_06980W_B
orf19.2368	CR_06970C_A		CR_06970C_B
orf19.2369	CR_06960W_A	ORC5	CR_06960W_B
orf19.2369.1	CR_06950C_A	ATX1	CR_06950C_B
orf19.2370	CR_06940W_A	DSL1	CR_06940W_B
orf19.2378	CR_03430W_A		CR_03430W_B
orf19.2379	CR_03420C_A	NOT4	CR_03420C_B
orf19.238	C3_02480C_A	CCP1	C3_02480C_B
orf19.2382	CR_03400W_A		CR_03400W_B
orf19.2383	CR_03390C_A	YKU80	CR_03390C_B
orf19.2384	CR_03380W_A	MTG1	CR_03380W_B
orf19.2385	CR_03370C_A	KTI12	CR_03370C_B
orf19.2386	CR_03360W_A		CR_03360W_B
orf19.2387	CR_03350C_A		CR_03350C_B
orf19.2389	CR_03340C_A		CR_03340C_B
orf19.239	C3_02490C_A	STH1	C3_02490C_B
orf19.2391	CR_03330W_A		CR_03330W_B
orf19.2394	CR_03300C_A		CR_03300C_B
orf19.2395	CR_03290C_A	IME2	CR_03290C_B
orf19.2397.3	CR_03260W_A		CR_03260W_B
orf19.2399	CR_03240C_A		CR_03240C_B
orf19.24	C2_06470W_A	RTA2	C2_06470W_B
orf19.240	C3_02500W_A	PAM17	C3_02500W_B
orf19.2400	CR_03230W_A		CR_03230W_B
orf19.2401	CR_03220C_A		CR_03220C_B
orf19.2402	CR_03210C_A	SSU72	CR_03210C_B
orf19.2404	CR_03200C_A		CR_03200C_B
orf19.2406	CR_03180W_A		CR_03180W_B
orf19.2407	CR_03170W_A	DPS1-1	CR_03170W_B
orf19.2408	CR_03160W_A		CR_03160W_B
orf19.2410	CR_03150W_A	SYS3	CR_03150W_B
orf19.2411	CR_03140C_A	SYN8	CR_03140C_B
orf19.2412	CR_03130W_A		CR_03130W_B
orf19.2414	CR_03120W_A		CR_03120W_B
orf19.2415	CR_03110W_A		CR_03110W_B
orf19.2416.1	CR_03090C_A	MLC1	CR_03090C_B
orf19.2417	CR_03100W_A	SMC5	CR_03100W_B
orf19.2419	CR_03070W_A	DOM34	CR_03070W_B
orf19.242.2	C3_02530W_A	YSY6	C3_02530W_B
orf19.2422	CR_03060W_A	ARC1	CR_03060W_B
orf19.2423	CR_03050C_A	ZCF11	CR_03050C_B
orf19.2425	CR_03040C_A	HGT18	CR_03040C_B
orf19.2426	CR_03020C_A		CR_03020C_B
orf19.243	C3_02540C_A	OXR1	C3_02540C_B
orf19.2432	C1_06130C_A	HAC1	C1_06130C_B
orf19.2434	C1_06110C_A	NPL4	C1_06110C_B
orf19.2435	C1_06100C_A	MSI3	C1_06100C_B
orf19.2436	C1_06090C_A	SKY1	C1_06090C_B
orf19.2437	C1_06080C_A	ARC35	C1_06080C_B
orf19.2438	C1_06070W_A		C1_06070W_B
orf19.2439.1	C1_06050C_A	QCR10	C1_06050C_B
orf19.244	C3_02550C_A	DCG1	C3_02550C_B
orf19.2440	C1_06040W_A	RTT101	C1_06040W_B
orf19.2442	C1_06030C_A		C1_06030C_B
orf19.2443	C1_06020W_A	RGD1	C1_06020W_B
orf19.2444	C1_06010W_A	CHS7	C1_06010W_B
orf19.2446	C1_05990C_A		C1_05990C_B
orf19.2447	C1_05980W_A		C1_05980W_B
orf19.245	C3_02560W_A	DDC1	C3_02560W_B
orf19.2454	C1_05940W_A	PHO87	C1_05940W_B
orf19.2455	C1_05930C_A		C1_05930C_B
orf19.2458	C1_05910W_A	SIP5	C1_05910W_B
orf19.246	C3_02570W_A		C3_02570W_B
orf19.2465	C1_05850W_A	POL32	C1_05850W_B
orf19.2468	C1_05830W_A		C1_05830W_B
orf19.2469	C1_05820C_A	RAD10	C1_05820C_B
orf19.247	C3_02580C_A		C3_02580C_B
orf19.2471	C1_05810W_A	GIM5	C1_05810W_B
orf19.2473	C1_05780W_A	RSC9	C1_05780W_B
orf19.2474	C1_05770C_A	PRC3	C1_05770C_B
orf19.2476	C1_05750C_A		C1_05750C_B
orf19.2478.1	C1_05720W_A		C1_05720W_B
orf19.2479	C1_05710C_A	UGA4	C1_05710C_B
orf19.248	C3_02590W_A	APL5	C3_02590W_B
orf19.2480.1	C1_05700W_A	AUT7	C1_05700W_B
orf19.2483	C1_05680C_A	RIM1	C1_05680C_B
orf19.2484	C1_05670W_A		C1_05670W_B
orf19.2485	C1_05660C_A		C1_05660C_B
orf19.2487	C1_05650W_A		C1_05650W_B
orf19.2488	C1_05640C_A	FAL1	C1_05640C_B
orf19.2489	C1_05630C_A		C1_05630C_B
orf19.2492	C1_05620C_A	STE3	C1_05620C_B
orf19.2494	C1_05610W_A		C1_05610W_B
orf19.2498	C3_00940W_A		C3_00940W_B
orf19.2499	C3_00950C_A		C3_00950C_B
orf19.25	C2_06480W_A		C2_06480W_B
orf19.250	C3_02600C_A	SLC1	C3_02600C_B
orf19.2501	C3_00980W_A	FLC1	C3_00980W_B
orf19.2503	C3_00990C_A		C3_00990C_B
orf19.2504	C3_01000W_A	BMS1	C3_01000W_B
orf19.2507	C3_01030W_A	ARP9	C3_01030W_B
orf19.251	C3_02610C_A	GLX3	C3_02610C_B
orf19.2510	C3_01070C_A		C3_01070C_B
orf19.2511.1	C3_01080W_A	MRPL33	C3_01080W_B
orf19.2518	CR_01350C_A		CR_01350C_B
orf19.2519	CR_01360W_A	NNF1	CR_01360W_B
orf19.252	C3_02620C_A		C3_02620C_B
orf19.2520	CR_01370C_A		CR_01370C_B
orf19.2524	CR_01390W_A	MGE1	CR_01390W_B
orf19.2525	CR_01400W_A	LYS12	CR_01400W_B
orf19.2527	CR_01410C_A		CR_01410C_B
orf19.2528	CR_01420W_A		CR_01420W_B
orf19.2529	CR_01430W_A	GPI15	CR_01430W_B
orf19.2531	CR_01470W_A	CSP37	CR_01470W_B
orf19.2532	CR_01480W_A	PRS	CR_01480W_B
orf19.2533.1	CR_01490C_A		CR_01490C_B
orf19.2534	CR_01500W_A	PIN4	CR_01500W_B
orf19.2538	CR_01520W_A	PTC2	CR_01520W_B
orf19.2540	CR_01540W_A	SAS3	CR_01540W_B
orf19.2541	CR_01550C_A		CR_01550C_B
orf19.2544	CR_01570W_A		CR_01570W_B
orf19.2545	CR_01580C_A	DOT6	CR_01580C_B
orf19.2546	CR_01590C_A	TRP2	CR_01590C_B
orf19.2549	CR_01610C_A	SHP1	CR_01610C_B
orf19.2551	CR_01620C_A	MET6	CR_01620C_B
orf19.2555	CR_01650W_A	URA5	CR_01650W_B
orf19.2557	CR_01660C_A	SEC65	CR_01660C_B
orf19.2559	CR_01680C_A	CDC4	CR_01680C_B
orf19.2560	CR_01690C_A	CDC60	CR_01690C_B
orf19.2563	CR_01700C_A	PRP24	CR_01700C_B
orf19.2564	CR_01710W_A		CR_01710W_B
orf19.2565	CR_01720W_A		CR_01720W_B
orf19.2568	CR_01730W_A	IFU5	CR_01730W_B
orf19.2571	CR_01750C_A	SEC4	CR_01750C_B
orf19.2573	CR_01760C_A	FRS1	CR_01760C_B
orf19.2574	CR_01770C_A		CR_01770C_B
orf19.2575	CR_01780W_A		CR_01780W_B
orf19.2579	CR_01790C_A		CR_01790C_B
orf19.2580	CR_01800C_A	HST2	CR_01800C_B
orf19.2582	CR_01820W_A		CR_01820W_B
orf19.2587	CR_01900C_A	BIO5	CR_01900C_B
orf19.259	C3_02670W_A		C3_02670W_B
orf19.2590	CR_01910C_A	BIO4	CR_01910C_B
orf19.2591	CR_01920W_A	BIO3	CR_01920W_B
orf19.2593	CR_01930C_A	BIO2	CR_01930C_B
orf19.2594	CR_01950W_A		CR_01950W_B
orf19.2597	CR_01960C_A	MRS2	CR_01960C_B
orf19.2598	CR_01970C_A	VMA4	CR_01970C_B
orf19.2599	CR_01980C_A	CRC1	CR_01980C_B
orf19.26	C2_06490W_A		C2_06490W_B
orf19.2600	CR_01990C_A	SPC98	CR_01990C_B
orf19.2601	CR_02000C_A	HEM1	CR_02000C_B
orf19.2602	CR_02020C_A	OPT1	CR_02020C_B
orf19.2604	CR_02030C_A		CR_02030C_B
orf19.2605	CR_02040W_A	PRK1	CR_02040W_B
orf19.2606	CR_02050C_A	HDA1	CR_02050C_B
orf19.2609	CR_02090C_A	CET1	CR_02090C_B
orf19.261	C3_02690C_A		C3_02690C_B
orf19.2611	CR_02110W_A	MCM6	CR_02110W_B
orf19.2613	CR_02130W_A	ECM4	CR_02130W_B
orf19.2614	CR_02140W_A	RSR1	CR_02140W_B
orf19.2615	CR_02150W_A	MDL1	CR_02150W_B
orf19.2616	CR_02160W_A	UGT51C1	CR_02160W_B
orf19.2618	CR_02170W_A	MET2	CR_02170W_B
orf19.2619	CR_02180W_A	PHO113	CR_02180W_B
orf19.262	C3_02700W_A	SMC3	C3_02700W_B
orf19.2621	CR_07510W_A	SMB1	CR_07510W_B
orf19.2622	CR_07520C_A	YPT31	CR_07520C_B
orf19.2629	C4_05280W_A	USO1	C4_05280W_B
orf19.2630	C4_05270C_A	RAD59	C4_05270C_B
orf19.2631	C4_05260W_A		C4_05260W_B
orf19.2639	C5_03410C_A		C5_03410C_B
orf19.2639.1	C5_03400C_A	LSM7	C5_03400C_B
orf19.2640	C5_03390C_A	FUR1	C5_03390C_B
orf19.2641	C5_03380W_A	ARP1	C5_03380W_B
orf19.2642	C5_03370C_A		C5_03370C_B
orf19.2643	C5_03360W_A	RPO26	C5_03360W_B
orf19.2644	C5_03350W_A	QCR2	C5_03350W_B
orf19.2649	C5_03310C_A	PCL1	C5_03310C_B
orf19.2650.1	C5_03290C_A		C5_03290C_B
orf19.2654	C5_03250W_A	RMS1	C5_03250W_B
orf19.2655	C5_03240W_A	BUB3	C5_03240W_B
orf19.2660	C2_08280W_A	EAF3	C2_08280W_B
orf19.2664	C4_03290W_A		C4_03290W_B
orf19.2665	C4_03280W_A	MSN5	C4_03280W_B
orf19.2667	C4_03270W_A	RPF1	C4_03270W_B
orf19.2670	C4_03200C_A		C4_03200C_B
orf19.2672	C4_03180W_A	NCP1	C4_03180W_B
orf19.2673	C4_03170W_A		C4_03170W_B
orf19.2675	C4_03150W_A		C4_03150W_B
orf19.2676	C4_03140C_A		C4_03140C_B
orf19.2677	C4_03130W_A		C4_03130W_B
orf19.2678	C4_03120C_A	BUB1	C4_03120C_B
orf19.268	C3_02770C_A		C3_02770C_B
orf19.2680	C4_03110W_A	DNF3	C4_03110W_B
orf19.2682	C4_03090W_A		C4_03090W_B
orf19.2686	C4_03050C_A		C4_03050C_B
orf19.2687.1	C4_03040W_A		C4_03040W_B
orf19.2688	C4_03030C_A	NAN1	C4_03030C_B
orf19.269	C3_02780W_A	SES1	C3_02780W_B
orf19.2690	C4_03020W_A	MGM1	C4_03020W_B
orf19.2694	C4_02980W_A	TYS1	C4_02980W_B
orf19.2695	C4_02970C_A	UBR1	C4_02970C_B
orf19.2697	C4_02960W_A		C4_02960W_B
orf19.2698	C4_02950C_A		C4_02950C_B
orf19.2699	C4_02940W_A	ABP1	C4_02940W_B
orf19.2703	C4_02920W_A		C4_02920W_B
orf19.2706	C4_02900C_A	CRH11	C4_02900C_B
orf19.2707.1	C4_02890C_A	QCR9	C4_02890C_B
orf19.2708	C4_02880C_A		C4_02880C_B
orf19.2709	C4_02870C_A	ZUO1	C4_02870C_B
orf19.2710	C4_02860W_A		C4_02860W_B
orf19.2711	C4_02850W_A		C4_02850W_B
orf19.2711.1	C4_02840C_A	MED20	C4_02840C_B
orf19.2712	C4_02830C_A	HCA4	C4_02830C_B
orf19.2713	C4_02820W_A		C4_02820W_B
orf19.2715	C4_02800W_A	RPC53	C4_02800W_B
orf19.2717	C4_02790C_A	SAS10	C4_02790C_B
orf19.272	C3_02810C_A	FAA21	C3_02810C_B
orf19.2720	C4_02780W_A		C4_02780W_B
orf19.2721	C4_02770C_A		C4_02770C_B
orf19.2722	C4_02760C_A	CGR1	C4_02760C_B
orf19.2723	C4_02750W_A	HIT1	C4_02750W_B
orf19.2726	C4_02720C_A		C4_02720C_B
orf19.2727	C4_02710C_A	GRX3	C4_02710C_B
orf19.2728	C4_02700W_A		C4_02700W_B
orf19.273	C3_02820C_A	NSG2	C3_02820C_B
orf19.2733	C4_02670W_A		C4_02670W_B
orf19.2735	C4_02640C_A	SEN2	C4_02640C_B
orf19.2736	C4_02630C_A	HFL2	C4_02630C_B
orf19.2737	C4_02620C_A		C4_02620C_B
orf19.2738	C4_02610C_A	SUL2	C4_02610C_B
orf19.2739	C4_02600C_A	CAC1	C4_02600C_B
orf19.274	C3_02830W_A	TFC4	C3_02830W_B
orf19.2740	C4_02590C_A	SLX4	C4_02590C_B
orf19.2743	C4_02570C_A		C4_02570C_B
orf19.2745	C4_02560C_A	UME7	C4_02560C_B
orf19.2746	C4_02550C_A	EMP70	C4_02550C_B
orf19.2747	C4_02540W_A	RGT1	C4_02540W_B
orf19.2749	C4_02520C_A		C4_02520C_B
orf19.275	C3_02840W_A		C3_02840W_B
orf19.2752	C4_02500C_A	ADR1	C4_02500C_B
orf19.2754	C4_02480C_A	TIM13	C4_02480C_B
orf19.2755	C4_02470C_A	PRE7	C4_02470C_B
orf19.2756	C4_02460W_A		C4_02460W_B
orf19.276	C3_02850C_A		C3_02850C_B
orf19.2760	C4_02430W_A		C4_02430W_B
