gene_name or feature_name	feature_name or alias	contig	strain	feature.start	feature.end	
ARS1608	ARS1608	JRIZ01000110.1	JK9-3d	66140	66432	
ARS1608	ARS1608	JRIP01000110.1	RM11-1A	66148	66441	
ARS1608	ARS1608	JRIW01000059.1	SEY6210	49774	49483	
ARS1608	ARS1608	JRIU01000002.1	W303	49203	48912	
ARS1608	ARS1608	JRIX01000207.1	X2180-1A	49188	48897	
ARS1608	ARS1608	JRIF01000129.1	Y55	11794	11503	
ARS1611	ARS1611	JRIQ01000037.1	Sigma1278b	334918	334839	
ARS1611	ARS1611	JRIV01000005.1	CEN.PK2-1Ca	157864	157785	
ARS1611	ARS1611	JRIY01000060.1	D273-10B	217085	217006	
ARS1611	ARS1611	JRIT01000024.1	FL100	61152	61073	
ARS1611	ARS1611	JRIZ01000110.1	JK9-3d	124332	124411	
ARS1611	ARS1611	JRIP01000110.1	RM11-1A	123992	124071	
ARS1611	ARS1611	JRIW01000075.1	SEY6210	8224	8303	
ARS1611	ARS1611	JRIU01000154.1	W303	185431	185352	
ARS1611	ARS1611	JRIX01000060.1	X2180-1A	8224	8303	
ARS1611	ARS1611	JRIF01000017.1	Y55	9706	9785	
ARS1612	ARS1612	JRIQ01000037.1	Sigma1278b	294075	293279	
ARS1612	ARS1612	JRIV01000005.1	CEN.PK2-1Ca	117021	116225	
ARS1612	ARS1612	JRIY01000060.1	D273-10B	176258	175463	
ARS1612	ARS1612	JRIT01000024.1	FL100	20309	19513	
ARS1612	ARS1612	JRIZ01000110.1	JK9-3d	165175	165971	
ARS1612	ARS1612	JRIP01000110.1	RM11-1A	164831	165627	
ARS1612	ARS1612	JRIW01000075.1	SEY6210	49067	49863	
ARS1612	ARS1612	JRIU01000154.1	W303	144588	143792	
ARS1612	ARS1612	JRIX01000060.1	X2180-1A	49067	49863	
ARS1612	ARS1612	JRIF01000017.1	Y55	50543	51339	
ARS1614	ARS1614	JRIQ01000037.1	Sigma1278b	265590	265370	
ARS1614	ARS1614	JRIV01000005.1	CEN.PK2-1Ca	88467	88247	
ARS1614	ARS1614	JRIY01000060.1	D273-10B	147722	147502	
ARS1614	ARS1614	JRIT01000161.1	FL100	8148	8368	
ARS1614	ARS1614	JRIZ01000110.1	JK9-3d	193729	193949	
ARS1614	ARS1614	JRIP01000110.1	RM11-1A	193285	193505	
ARS1614	ARS1614	JRIW01000075.1	SEY6210	77548	77768	
ARS1614	ARS1614	JRIU01000154.1	W303	116047	115827	
ARS1614	ARS1614	JRIX01000060.1	X2180-1A	77605	77825	
ARS1614	ARS1614	JRIF01000017.1	Y55	79019	79240	
ARS1617	ARS1617	JRIQ01000037.1	Sigma1278b	223376	222975	
ARS1617	ARS1617	JRIV01000005.1	CEN.PK2-1Ca	46253	45852	
ARS1617	ARS1617	JRIY01000060.1	D273-10B	105504	105103	
ARS1617	ARS1617	JRIT01000161.1	FL100	50362	50763	
ARS1617	ARS1617	JRIZ01000110.1	JK9-3d	235943	236344	
ARS1617	ARS1617	JRIP01000110.1	RM11-1A	235499	235900	
ARS1617	ARS1617	JRIW01000075.1	SEY6210	119762	120163	
ARS1617	ARS1617	JRIU01000154.1	W303	73833	73432	
ARS1617	ARS1617	JRIX01000060.1	X2180-1A	119819	120220	
ARS1617	ARS1617	JRIF01000017.1	Y55	121233	121634	
ARS1618	ARS1618	JRIQ01000037.1	Sigma1278b	169969	169722	
ARS1618	ARS1618	JRIV01000220.1	CEN.PK2-1Ca	7206	7453	
ARS1618	ARS1618	JRIY01000060.1	D273-10B	52097	51850	
ARS1618	ARS1618	JRIT01000018.1	FL100	7206	7453	
ARS1618	ARS1618	JRIZ01000110.1	JK9-3d	289350	289597	
ARS1618	ARS1618	JRIP01000001.1	RM11-1A	7279	7526	
ARS1618	ARS1618	JRIW01000075.1	SEY6210	173169	173416	
ARS1618	ARS1618	JRIU01000154.1	W303	20990	20743	
ARS1618	ARS1618	JRIX01000060.1	X2180-1A	173226	173473	
ARS1618	ARS1618	JRIF01000017.1	Y55	174805	175052	
ARS1619	ARS1619	JRIQ01000037.1	Sigma1278b	136438	136212	
ARS1619	ARS1619	JRIV01000220.1	CEN.PK2-1Ca	40802	41028	
ARS1619	ARS1619	JRIY01000060.1	D273-10B	18791	18565	
ARS1619	ARS1619	JRIT01000116.1	FL100	135863	135637	
ARS1619	ARS1619	JRIZ01000103.1	JK9-3d	135863	135637	
ARS1619	ARS1619	JRIP01000001.1	RM11-1A	40877	41103	
ARS1619	ARS1619	JRIW01000075.1	SEY6210	206861	207087	
ARS1619	ARS1619	JRIU01000203.1	W303	18694	18468	
ARS1619	ARS1619	JRIX01000123.1	X2180-1A	18206	17980	
ARS1619	ARS1619	JRIF01000017.1	Y55	208396	208622	
ARS1620	ARS1620	JRIQ01000037.1	Sigma1278b	131790	131691	
ARS1620	ARS1620	JRIV01000220.1	CEN.PK2-1Ca	45450	45549	
ARS1620	ARS1620	JRIY01000060.1	D273-10B	14143	14044	
ARS1620	ARS1620	JRIT01000116.1	FL100	131215	131116	
ARS1620	ARS1620	JRIZ01000103.1	JK9-3d	131215	131116	
ARS1620	ARS1620	JRIP01000001.1	RM11-1A	45525	45624	
ARS1620	ARS1620	JRIW01000075.1	SEY6210	211509	211608	
ARS1620	ARS1620	JRIU01000203.1	W303	14046	13947	
ARS1620	ARS1620	JRIX01000123.1	X2180-1A	13558	13459	
ARS1620	ARS1620	JRIF01000017.1	Y55	213044	213143	
ARS1621	ARS1621	JRIQ01000037.1	Sigma1278b	49062	48905	
ARS1621	ARS1621	JRIV01000030.1	CEN.PK2-1Ca	190522	190365	
ARS1621	ARS1621	JRIY01000027.1	D273-10B	68851	69008	
ARS1621	ARS1621	JRIT01000116.1	FL100	48872	48715	
ARS1621	ARS1621	JRIZ01000103.1	JK9-3d	48873	48716	
ARS1621	ARS1621	JRIP01000001.1	RM11-1A	127835	127992	
ARS1621	ARS1621	JRIW01000196.1	SEY6210	48910	48753	
ARS1621	ARS1621	JRIU01000123.1	W303	68691	68848	
ARS1621	ARS1621	JRIX01000085.1	X2180-1A	48873	48716	
ARS1621	ARS1621	JRIF01000017.1	Y55	295267	295424	
ARS1622	ARS1622	JRIQ01000199.1	Sigma1278b	138009	137894	
ARS1622	ARS1622	JRIV01000030.1	CEN.PK2-1Ca	138257	138142	
ARS1622	ARS1622	JRIY01000064.1	D273-10B	3078	3193	
ARS1622	ARS1622	JRIT01000130.1	FL100	138000	137885	
ARS1622	ARS1622	JRIZ01000067.1	JK9-3d	3082	3197	
ARS1622	ARS1622	JRIP01000082.1	RM11-1A	3012	3127	
ARS1622	ARS1622	JRIW01000173.1	SEY6210	138141	138026	
ARS1622	ARS1622	JRIU01000122.1	W303	138042	137927	
ARS1622	ARS1622	JRIX01000202.1	X2180-1A	138427	138312	
ARS1622	ARS1622	JRIF01000017.1	Y55	347544	347659	
ARS1623	ARS1623	JRIQ01000199.1	Sigma1278b	68115	67867	
ARS1623	ARS1623	JRIV01000030.1	CEN.PK2-1Ca	68220	67972	
ARS1623	ARS1623	JRIY01000064.1	D273-10B	72981	73229	
ARS1623	ARS1623	JRIT01000130.1	FL100	68099	67851	
ARS1623	ARS1623	JRIZ01000067.1	JK9-3d	73001	73249	
ARS1623	ARS1623	JRIP01000096.1	RM11-1A	61573	61821	
ARS1623	ARS1623	JRIW01000173.1	SEY6210	68127	67879	
ARS1623	ARS1623	JRIU01000122.1	W303	68128	67880	
ARS1623	ARS1623	JRIX01000202.1	X2180-1A	68403	68155	
ARS1623	ARS1623	JRIF01000221.1	Y55	11300	11548	
ARS1624	ARS1624	JRIQ01000199.1	Sigma1278b	17586	17338	
ARS1624	ARS1624	JRIV01000030.1	CEN.PK2-1Ca	17583	17335	
ARS1624	ARS1624	JRIY01000064.1	D273-10B	123558	123806	
ARS1624	ARS1624	JRIT01000130.1	FL100	17583	17335	
ARS1624	ARS1624	JRIZ01000067.1	JK9-3d	123618	123866	
ARS1624	ARS1624	JRIP01000096.1	RM11-1A	112154	112402	
ARS1624	ARS1624	JRIW01000173.1	SEY6210	17583	17335	
ARS1624	ARS1624	JRIU01000122.1	W303	17583	17335	
ARS1624	ARS1624	JRIX01000202.1	X2180-1A	17583	17335	
ARS1624	ARS1624	JRIF01000221.1	Y55	61810	62058	
ARS1625	ARS1625	JRIQ01000199.1	Sigma1278b	6513	6400	
ARS1625	ARS1625	JRIV01000030.1	CEN.PK2-1Ca	6511	6398	
ARS1625	ARS1625	JRIY01000064.1	D273-10B	134643	134756	
ARS1625	ARS1625	JRIT01000130.1	FL100	6511	6398	
ARS1625	ARS1625	JRIZ01000067.1	JK9-3d	134690	134803	
ARS1625	ARS1625	JRIP01000096.1	RM11-1A	123231	123344	
ARS1625	ARS1625	JRIW01000173.1	SEY6210	6511	6398	
ARS1625	ARS1625	JRIU01000122.1	W303	6511	6398	
ARS1625	ARS1625	JRIX01000202.1	X2180-1A	6511	6398	
ARS1625	ARS1625	JRIF01000221.1	Y55	72882	72995	
ARS1626	ARS1626	JRIQ01000061.1	Sigma1278b	49015	49261	
ARS1626	ARS1626	JRIV01000184.1	CEN.PK2-1Ca	48366	48612	
ARS1626	ARS1626	JRIY01000009.1	D273-10B	20134	19888	
ARS1626	ARS1626	JRIT01000003.1	FL100	48392	48638	
ARS1626	ARS1626	JRIZ01000028.1	JK9-3d	20134	19888	
ARS1626	ARS1626	JRIP01000119.1	RM11-1A	48337	48583	
ARS1626	ARS1626	JRIW01000104.1	SEY6210	48506	48752	
ARS1626	ARS1626	JRIU01000255.1	W303	20134	19888	
ARS1626	ARS1626	JRIX01000244.1	X2180-1A	20134	19888	
ARS1626	ARS1626	JRIF01000104.1	Y55	4781	5027	
ARS1627	ARS1627	JRIQ01000061.1	Sigma1278b	112448	112687	
ARS1627	ARS1627	JRIV01000016.1	CEN.PK2-1Ca	20131	19892	
ARS1627	ARS1627	JRIY01000022.1	D273-10B	8748	8987	
ARS1627	ARS1627	JRIT01000046.1	FL100	330	91	
ARS1627	ARS1627	JRIZ01000197.1	JK9-3d	43343	43582	
ARS1627	ARS1627	JRIP01000149.1	RM11-1A	4454	4215	
ARS1627	ARS1627	JRIW01000204.1	SEY6210	8847	9086	
ARS1627	ARS1627	JRIU01000008.1	W303	8602	8841	
ARS1627	ARS1627	JRIX01000180.1	X2180-1A	8682	8921	
ARS1627	ARS1627	JRIF01000012.1	Y55	19964	19725	
ARS1628	ARS1628	JRIQ01000157.1	Sigma1278b	1797	1550	
ARS1628	ARS1628	JRIV01000106.1	CEN.PK2-1Ca	2112	1865	
ARS1628	ARS1628	JRIY01000180.1	D273-10B	4709	4956	
ARS1628	ARS1628	JRIT01000054.1	FL100	4680	4927	
ARS1628	ARS1628	JRIZ01000144.1	JK9-3d	4656	4903	
ARS1628	ARS1628	JRIP01000058.1	RM11-1A	4688	4935	
ARS1628	ARS1628	JRIW01000186.1	SEY6210	4681	4928	
ARS1628	ARS1628	JRIU01000207.1	W303	1796	1549	
ARS1628	ARS1628	JRIX01000089.1	X2180-1A	4686	4933	
ARS1628	ARS1628	JRIF01000076.1	Y55	4681	4928	
ARS1629	ARS1629	JRIY01000180.1	D273-10B	6634	6751	
ARS1629	ARS1629	JRIP01000058.1	RM11-1A	6613	6730	
ARS1629	ARS1629	JRIW01000018.1	SEY6210	85897	85780	
ARS1629	ARS1629	JRIF01000076.1	Y55	6945	7046	
ARS1630	ARS1630	JRIQ01000014.1	Sigma1278b	23864	24111	
ARS1630	ARS1630	JRIV01000176.1	CEN.PK2-1Ca	61755	61508	
ARS1630	ARS1630	JRIY01000206.1	D273-10B	61762	61515	
ARS1630	ARS1630	JRIT01000168.1	FL100	61625	61378	
ARS1630	ARS1630	JRIZ01000058.1	JK9-3d	24096	24343	
ARS1630	ARS1630	JRIP01000058.1	RM11-1A	30911	31158	
ARS1630	ARS1630	JRIW01000018.1	SEY6210	61818	61571	
ARS1630	ARS1630	JRIU01000074.1	W303	23939	24186	
ARS1630	ARS1630	JRIX01000034.1	X2180-1A	61733	61486	
ARS1630	ARS1630	JRIF01000111.1	Y55	21339	21585	
ARS1631	ARS1631	JRIV01000176.1	CEN.PK2-1Ca	9647	9401	
ARS1631	ARS1631	JRIY01000206.1	D273-10B	9416	9170	
ARS1631	ARS1631	JRIT01000168.1	FL100	9416	9170	
ARS1631	ARS1631	JRIZ01000058.1	JK9-3d	76332	76578	
ARS1631	ARS1631	JRIP01000251.1	RM11-1A	221	467	
ARS1631	ARS1631	JRIW01000018.1	SEY6210	9647	9401	
ARS1631	ARS1631	JRIU01000074.1	W303	76018	76264	
ARS1631	ARS1631	JRIX01000034.1	X2180-1A	9416	9170	
ARS1633	ARS1633	JRIQ01000037.1	Sigma1278b	104258	104010	
ARS1633	ARS1633	JRIV01000030.1	CEN.PK2-1Ca	245579	245332	
ARS1633	ARS1633	JRIY01000027.1	D273-10B	13735	13982	
ARS1633	ARS1633	JRIT01000116.1	FL100	104095	103848	
ARS1633	ARS1633	JRIZ01000103.1	JK9-3d	104094	103847	
ARS1633	ARS1633	JRIP01000001.1	RM11-1A	72644	72891	
ARS1633	ARS1633	JRIW01000206.1	SEY6210	46092	45845	
ARS1633	ARS1633	JRIU01000123.1	W303	13489	13736	
ARS1633	ARS1633	JRIX01000085.1	X2180-1A	104180	103933	
ARS1633	ARS1633	JRIF01000017.1	Y55	240154	240401	
ARS1634	ARS1634	JRIQ01000199.1	Sigma1278b	136809	136567	
ARS1634	ARS1634	JRIV01000030.1	CEN.PK2-1Ca	137057	136815	
ARS1634	ARS1634	JRIY01000064.1	D273-10B	4278	4520	
ARS1634	ARS1634	JRIT01000130.1	FL100	136800	136558	
ARS1634	ARS1634	JRIZ01000067.1	JK9-3d	4282	4524	
ARS1634	ARS1634	JRIP01000082.1	RM11-1A	4212	4454	
ARS1634	ARS1634	JRIW01000173.1	SEY6210	136941	136699	
ARS1634	ARS1634	JRIU01000122.1	W303	136842	136600	
ARS1634	ARS1634	JRIX01000202.1	X2180-1A	137227	136985	
ARS1634	ARS1634	JRIF01000017.1	Y55	348743	348985	
ARS1635	ARS1635	JRIQ01000061.1	Sigma1278b	76393	76623	
ARS1635	ARS1635	JRIV01000184.1	CEN.PK2-1Ca	76193	76423	
ARS1635	ARS1635	JRIY01000134.1	D273-10B	27847	27617	
ARS1635	ARS1635	JRIT01000003.1	FL100	75878	76108	
ARS1635	ARS1635	JRIZ01000197.1	JK9-3d	7324	7554	
ARS1635	ARS1635	JRIP01000149.1	RM11-1A	40546	40316	
ARS1635	ARS1635	JRIW01000104.1	SEY6210	76388	76618	
ARS1635	ARS1635	JRIU01000140.1	W303	7324	7554	
ARS1635	ARS1635	JRIX01000086.1	X2180-1A	7305	7535	
ARS1635	ARS1635	JRIF01000012.1	Y55	56240	56019	
ARS2	ARS2	JRIQ01000139.1	Sigma1278b	6374	7299	
ARS2	ARS2	JRIV01000090.1	CEN.PK2-1Ca	5938	5013	
ARS2	ARS2	JRIY01000200.1	D273-10B	48485	49410	
ARS2	ARS2	JRIT01000178.1	FL100	5991	6916	
ARS2	ARS2	JRIZ01000132.1	JK9-3d	73429	72504	
ARS2	ARS2	JRIP01000028.1	RM11-1A	71321	70396	
ARS2	ARS2	JRIW01000045.1	SEY6210	23638	24563	
ARS2	ARS2	JRIU01000240.1	W303	7301	8226	
ARS2	ARS2	JRIX01000096.1	X2180-1A	6072	5147	
ARS2	ARS2	JRIF01000085.1	Y55	72830	71905	
ARS202	ARS202	JRIQ01000192.1	Sigma1278b	48082	48204	
ARS202	ARS202	JRIV01000047.1	CEN.PK2-1Ca	158998	158876	
ARS202	ARS202	JRIY01000182.1	D273-10B	25381	25259	
ARS202	ARS202	JRIT01000138.1	FL100	134251	134129	
ARS202	ARS202	JRIZ01000122.1	JK9-3d	133641	133519	
ARS202	ARS202	JRIP01000059.1	RM11-1A	134527	134405	
ARS202	ARS202	JRIW01000025.1	SEY6210	134102	133980	
ARS202	ARS202	JRIU01000086.1	W303	26949	27071	
ARS202	ARS202	JRIX01000002.1	X2180-1A	25599	25477	
ARS202	ARS202	JRIF01000055.1	Y55	47449	47571	
ARS203	ARS203	JRIQ01000192.1	Sigma1278b	78284	78368	
ARS203	ARS203	JRIV01000047.1	CEN.PK2-1Ca	128848	128764	
ARS203	ARS203	JRIY01000165.1	D273-10B	104375	104291	
ARS203	ARS203	JRIT01000138.1	FL100	104365	104281	
ARS203	ARS203	JRIZ01000122.1	JK9-3d	103498	103414	
ARS203	ARS203	JRIP01000059.1	RM11-1A	103939	103855	
ARS203	ARS203	JRIW01000025.1	SEY6210	103899	103815	
ARS203	ARS203	JRIU01000086.1	W303	56839	56923	
ARS203	ARS203	JRIX01000032.1	X2180-1A	127710	127626	
ARS203	ARS203	JRIF01000055.1	Y55	77596	77680	
ARS206	ARS206	JRIQ01000192.1	Sigma1278b	128627	128714	
ARS206	ARS206	JRIV01000047.1	CEN.PK2-1Ca	78549	78462	
ARS206	ARS206	JRIY01000165.1	D273-10B	54008	53921	
ARS206	ARS206	JRIT01000138.1	FL100	54097	54010	
ARS206	ARS206	JRIZ01000122.1	JK9-3d	53238	53151	
ARS206	ARS206	JRIP01000059.1	RM11-1A	53707	53620	
ARS206	ARS206	JRIW01000025.1	SEY6210	53555	53468	
ARS206	ARS206	JRIU01000086.1	W303	107171	107258	
ARS206	ARS206	JRIX01000032.1	X2180-1A	77206	77119	
ARS206	ARS206	JRIF01000055.1	Y55	127816	127903	
ARS207	ARS207	JRIQ01000192.1	Sigma1278b	154909	155015	
ARS207	ARS207	JRIV01000047.1	CEN.PK2-1Ca	52073	51967	
ARS207	ARS207	JRIY01000165.1	D273-10B	27591	27485	
ARS207	ARS207	JRIT01000138.1	FL100	27600	27494	
ARS207	ARS207	JRIZ01000122.1	JK9-3d	26849	26743	
ARS207	ARS207	JRIP01000059.1	RM11-1A	27355	27249	
ARS207	ARS207	JRIW01000025.1	SEY6210	27057	26951	
ARS207	ARS207	JRIU01000086.1	W303	133557	133663	
ARS207	ARS207	JRIX01000032.1	X2180-1A	50901	50795	
ARS207	ARS207	JRIF01000055.1	Y55	154123	154229	
ARS208	ARS208	JRIQ01000192.1	Sigma1278b	216340	216453	
ARS208	ARS208	JRIV01000028.1	CEN.PK2-1Ca	10851	10964	
ARS208	ARS208	JRIY01000071.1	D273-10B	18654	18541	
ARS208	ARS208	JRIT01000017.1	FL100	34195	34308	
ARS208	ARS208	JRIZ01000212.1	JK9-3d	18734	18621	
ARS208	ARS208	JRIP01000135.1	RM11-1A	33792	33905	
ARS208	ARS208	JRIW01000070.1	SEY6210	35258	35371	
ARS208	ARS208	JRIU01000067.1	W303	56204	56091	
ARS208	ARS208	JRIX01000017.1	X2180-1A	10847	10960	
ARS208	ARS208	JRIF01000069.1	Y55	57497	57384	
ARS209	ARS209	JRIQ01000192.1	Sigma1278b	233550	233635	
ARS209	ARS209	JRIV01000028.1	CEN.PK2-1Ca	28061	28146	
ARS209	ARS209	JRIY01000071.1	D273-10B	1442	1357	
ARS209	ARS209	JRIT01000017.1	FL100	51405	51490	
ARS209	ARS209	JRIZ01000212.1	JK9-3d	1443	1358	
ARS209	ARS209	JRIP01000135.1	RM11-1A	51002	51087	
ARS209	ARS209	JRIW01000070.1	SEY6210	52468	52553	
ARS209	ARS209	JRIU01000067.1	W303	38994	38909	
ARS209	ARS209	JRIX01000017.1	X2180-1A	28058	28143	
ARS209	ARS209	JRIF01000069.1	Y55	40288	40203	
ARS211	ARS211	JRIQ01000110.1	Sigma1278b	25927	26162	
ARS211	ARS211	JRIV01000197.1	CEN.PK2-1Ca	25974	26209	
ARS211	ARS211	JRIY01000177.1	D273-10B	151040	150805	
ARS211	ARS211	JRIT01000142.1	FL100	25974	26209	
ARS211	ARS211	JRIZ01000178.1	JK9-3d	25974	26209	
ARS211	ARS211	JRIP01000036.1	RM11-1A	25976	26211	
ARS211	ARS211	JRIW01000048.1	SEY6210	25976	26211	
ARS211	ARS211	JRIU01000014.1	W303	25926	26161	
ARS211	ARS211	JRIX01000234.1	X2180-1A	27435	27200	
ARS211	ARS211	JRIF01000165.1	Y55	24114	23878	
ARS212	ARS212	JRIQ01000110.1	Sigma1278b	78992	79683	
ARS212	ARS212	JRIV01000104.1	CEN.PK2-1Ca	25594	26285	
ARS212	ARS212	JRIY01000177.1	D273-10B	97979	97288	
ARS212	ARS212	JRIT01000185.1	FL100	97975	97284	
ARS212	ARS212	JRIZ01000178.1	JK9-3d	79038	79729	
ARS212	ARS212	JRIP01000036.1	RM11-1A	79278	79969	
ARS212	ARS212	JRIW01000027.1	SEY6210	50377	49686	
ARS212	ARS212	JRIU01000235.1	W303	25611	26302	
ARS212	ARS212	JRIX01000064.1	X2180-1A	25606	26297	
ARS212	ARS212	JRIF01000118.1	Y55	29017	29708	
ARS213	ARS213	JRIQ01000110.1	Sigma1278b	88982	90139	
ARS213	ARS213	JRIV01000104.1	CEN.PK2-1Ca	35585	36742	
ARS213	ARS213	JRIY01000177.1	D273-10B	87989	86832	
ARS213	ARS213	JRIT01000185.1	FL100	87983	86826	
ARS213	ARS213	JRIZ01000178.1	JK9-3d	89029	90186	
ARS213	ARS213	JRIP01000036.1	RM11-1A	89251	90412	
ARS213	ARS213	JRIW01000027.1	SEY6210	40385	39228	
ARS213	ARS213	JRIU01000235.1	W303	35602	36759	
ARS213	ARS213	JRIX01000064.1	X2180-1A	35598	36755	
ARS213	ARS213	JRIF01000118.1	Y55	38993	40154	
ARS214	ARS214	JRIQ01000110.1	Sigma1278b	107720	107835	
ARS214	ARS214	JRIV01000104.1	CEN.PK2-1Ca	54323	54438	
ARS214	ARS214	JRIY01000177.1	D273-10B	69251	69136	
ARS214	ARS214	JRIT01000185.1	FL100	69254	69139	
ARS214	ARS214	JRIZ01000178.1	JK9-3d	107767	107882	
ARS214	ARS214	JRIP01000035.1	RM11-1A	2414	2529	
ARS214	ARS214	JRIW01000027.1	SEY6210	21643	21528	
ARS214	ARS214	JRIU01000235.1	W303	54341	54456	
ARS214	ARS214	JRIX01000064.1	X2180-1A	54337	54452	
ARS214	ARS214	JRIF01000118.1	Y55	57749	57864	
ARS215	ARS215	JRIQ01000110.1	Sigma1278b	117553	117848	
ARS215	ARS215	JRIV01000104.1	CEN.PK2-1Ca	64154	64449	
ARS215	ARS215	JRIY01000177.1	D273-10B	59418	59123	
ARS215	ARS215	JRIT01000185.1	FL100	59421	59126	
ARS215	ARS215	JRIZ01000178.1	JK9-3d	117600	117895	
ARS215	ARS215	JRIP01000035.1	RM11-1A	12214	12509	
ARS215	ARS215	JRIW01000027.1	SEY6210	11856	11561	
ARS215	ARS215	JRIU01000235.1	W303	64320	64615	
ARS215	ARS215	JRIX01000064.1	X2180-1A	64168	64463	
ARS215	ARS215	JRIF01000118.1	Y55	67647	67942	
ARS216	ARS216	JRIQ01000168.1	Sigma1278b	158434	158187	
ARS216	ARS216	JRIV01000019.1	CEN.PK2-1Ca	9037	9284	
ARS216	ARS216	JRIY01000112.1	D273-10B	9037	9284	
ARS216	ARS216	JRIT01000099.1	FL100	105103	104856	
ARS216	ARS216	JRIZ01000070.1	JK9-3d	9037	9284	
ARS216	ARS216	JRIP01000038.1	RM11-1A	105561	105314	
ARS216	ARS216	JRIW01000077.1	SEY6210	9037	9284	
ARS216	ARS216	JRIU01000089.1	W303	118551	118304	
ARS216	ARS216	JRIX01000022.1	X2180-1A	118927	118680	
ARS216	ARS216	JRIF01000079.1	Y55	105763	105516	
ARS217	ARS217	JRIQ01000168.1	Sigma1278b	127958	127757	
ARS217	ARS217	JRIV01000019.1	CEN.PK2-1Ca	39491	39692	
ARS217	ARS217	JRIY01000112.1	D273-10B	39514	39715	
ARS217	ARS217	JRIT01000099.1	FL100	74627	74426	
ARS217	ARS217	JRIZ01000070.1	JK9-3d	39501	39702	
ARS217	ARS217	JRIP01000038.1	RM11-1A	75114	74913	
ARS217	ARS217	JRIW01000077.1	SEY6210	39497	39698	
ARS217	ARS217	JRIU01000089.1	W303	88076	87875	
ARS217	ARS217	JRIX01000022.1	X2180-1A	88477	88276	
ARS217	ARS217	JRIF01000079.1	Y55	75249	75048	
ARS220	ARS220	JRIQ01000168.1	Sigma1278b	21944	21676	
ARS220	ARS220	JRIV01000063.1	CEN.PK2-1Ca	21944	21676	
ARS220	ARS220	JRIY01000033.1	D273-10B	30809	31077	
ARS220	ARS220	JRIT01000066.1	FL100	79902	79634	
ARS220	ARS220	JRIZ01000160.1	JK9-3d	22296	22028	
ARS220	ARS220	JRIP01000014.1	RM11-1A	37179	36911	
ARS220	ARS220	JRIW01000077.1	SEY6210	145393	145661	
ARS220	ARS220	JRIU01000246.1	W303	20644	20376	
ARS220	ARS220	JRIX01000050.1	X2180-1A	37987	37719	
ARS220	ARS220	JRIF01000001.1	Y55	30592	30860	
ARS221	ARS221	JRIQ01000168.1	Sigma1278b	12676	12364	
ARS221	ARS221	JRIV01000063.1	CEN.PK2-1Ca	12676	12364	
ARS221	ARS221	JRIY01000033.1	D273-10B	40077	40389	
ARS221	ARS221	JRIT01000066.1	FL100	70634	70322	
ARS221	ARS221	JRIZ01000160.1	JK9-3d	13024	12712	
ARS221	ARS221	JRIP01000014.1	RM11-1A	27903	27591	
ARS221	ARS221	JRIW01000077.1	SEY6210	154661	154973	
ARS221	ARS221	JRIU01000246.1	W303	11372	11060	
ARS221	ARS221	JRIX01000050.1	X2180-1A	28719	28407	
ARS221	ARS221	JRIF01000001.1	Y55	39856	40168	
ARS222	ARS222	JRIQ01000002.1	Sigma1278b	100212	99942	
ARS222	ARS222	JRIV01000033.1	CEN.PK2-1Ca	97215	96945	
ARS222	ARS222	JRIY01000214.1	D273-10B	2274	2544	
ARS222	ARS222	JRIT01000039.1	FL100	2274	2544	
ARS222	ARS222	JRIZ01000042.1	JK9-3d	2277	2547	
ARS222	ARS222	JRIP01000067.1	RM11-1A	2275	2545	
ARS222	ARS222	JRIW01000098.1	SEY6210	101461	101191	
ARS222	ARS222	JRIU01000163.1	W303	2275	2545	
ARS222	ARS222	JRIX01000044.1	X2180-1A	2262	2532	
ARS222	ARS222	JRIF01000151.1	Y55	2271	2542	
ARS224	ARS224	JRIQ01000002.1	Sigma1278b	62826	62710	
ARS224	ARS224	JRIV01000033.1	CEN.PK2-1Ca	59829	59713	
ARS224	ARS224	JRIY01000214.1	D273-10B	39641	39757	
ARS224	ARS224	JRIT01000039.1	FL100	39660	39776	
ARS224	ARS224	JRIZ01000042.1	JK9-3d	39657	39773	
ARS224	ARS224	JRIP01000067.1	RM11-1A	39648	39764	
ARS224	ARS224	JRIW01000098.1	SEY6210	64081	63965	
ARS224	ARS224	JRIU01000163.1	W303	39661	39777	
ARS224	ARS224	JRIX01000044.1	X2180-1A	39648	39764	
ARS224	ARS224	JRIF01000151.1	Y55	39655	39771	
ARS225	ARS225	JRIQ01000002.1	Sigma1278b	47077	46847	
ARS225	ARS225	JRIV01000033.1	CEN.PK2-1Ca	44080	43850	
ARS225	ARS225	JRIY01000214.1	D273-10B	55390	55620	
ARS225	ARS225	JRIT01000039.1	FL100	55409	55639	
ARS225	ARS225	JRIZ01000042.1	JK9-3d	55402	55631	
ARS225	ARS225	JRIP01000067.1	RM11-1A	55394	55623	
ARS225	ARS225	JRIW01000098.1	SEY6210	48332	48102	
ARS225	ARS225	JRIU01000163.1	W303	55412	55640	
ARS225	ARS225	JRIX01000044.1	X2180-1A	55397	55627	
ARS225	ARS225	JRIF01000151.1	Y55	55402	55631	
ARS228	ARS228	JRIQ01000002.1	Sigma1278b	12269	12177	
ARS228	ARS228	JRIV01000033.1	CEN.PK2-1Ca	9299	9207	
ARS228	ARS228	JRIY01000214.1	D273-10B	90171	90263	
ARS228	ARS228	JRIT01000039.1	FL100	90217	90309	
